Category: All categories

Region,Avoidant personality: (2021)
Vermont,
District of Columbia,
Kansas,100
Utah,95
Iowa,91
Minnesota,91
Washington,87
North Dakota,
Maine,
Maryland,83
Nevada,83
New Hampshire,
West Virginia,83
Idaho,79
Oregon,79
Missouri,79
South Carolina,75
Massachusetts,75
Michigan,75
New Mexico,
Virginia,75
Tennessee,75
Colorado,70
Kentucky,70
Ohio,70
Pennsylvania,70
Louisiana,66
Illinois,66
Mississippi,
Indiana,66
New York,62
Arkansas,62
Wisconsin,62
California,62
Connecticut,62
North Carolina,62
Oklahoma,62
Texas,58
South Dakota,
New Jersey,58
Florida,58
Montana,
Arizona,58
Alabama,50
Nebraska,
Rhode Island,
Georgia,45
Hawaii,
Delaware,
Alaska,
Wyoming,
