Category: All categories

Region,Avoidant personality: (2011)
Delaware,
Montana,
South Dakota,
Oklahoma,100
North Dakota,
Kentucky,100
Maine,
New Mexico,
Wisconsin,92
Arkansas,92
Connecticut,92
Tennessee,88
Missouri,85
Alabama,85
Virginia,81
Indiana,81
Alaska,
Rhode Island,
Nebraska,
Minnesota,77
Maryland,77
Utah,77
Washington,77
Oregon,77
Pennsylvania,77
Kansas,77
California,77
Vermont,
Louisiana,74
Massachusetts,70
Florida,70
Illinois,66
Michigan,66
New York,66
North Carolina,66
Ohio,66
Iowa,66
South Carolina,62
Texas,62
Mississippi,
Colorado,62
Georgia,62
Idaho,62
West Virginia,59
New Jersey,59
District of Columbia,
Arizona,48
Hawaii,
Nevada,37
New Hampshire,
Wyoming,
