Category: All categories

Region,Avoidant personality: (2020)
South Dakota,
Vermont,
Arkansas,100
Oregon,100
Maine,
Kansas,91
Washington,91
New Mexico,
Rhode Island,
West Virginia,82
Utah,82
Louisiana,82
North Dakota,
Wyoming,
Delaware,
Connecticut,73
Missouri,73
Wisconsin,73
Arizona,73
Maryland,73
Illinois,69
Massachusetts,69
Mississippi,
Oklahoma,69
New York,69
Tennessee,69
Indiana,69
Colorado,69
Hawaii,
Kentucky,69
Idaho,69
North Carolina,65
Pennsylvania,65
Nebraska,
Virginia,65
New Jersey,65
Iowa,65
Alaska,
District of Columbia,
Minnesota,65
Ohio,60
Texas,60
Michigan,60
California,60
Florida,60
South Carolina,56
Nevada,56
Alabama,56
Georgia,47
New Hampshire,
Montana,
