Category: All categories

Region,Avoidant personality: (2018)
Wyoming,
Kansas,100
North Dakota,
Montana,
Rhode Island,
Maine,
District of Columbia,
Utah,81
Arkansas,74
Massachusetts,74
South Dakota,
West Virginia,70
Idaho,70
Maryland,70
Wisconsin,66
Alabama,66
Tennessee,66
Washington,66
Minnesota,66
Virginia,62
Iowa,59
Michigan,59
Illinois,59
Delaware,
Indiana,59
New Mexico,
Oregon,55
Kentucky,55
North Carolina,55
Connecticut,55
New York,55
New Jersey,51
Georgia,51
Nevada,51
Colorado,51
Pennsylvania,51
Ohio,51
Florida,51
California,48
Arizona,48
Missouri,44
Vermont,
Texas,44
South Carolina,44
Mississippi,
New Hampshire,
Nebraska,
Oklahoma,40
Louisiana,33
Alaska,
Hawaii,
