Category: All categories

Region,weed: (2011)
Michigan,100
California,95
Ohio,93
Rhode Island,91
Pennsylvania,91
West Virginia,91
Washington,91
South Carolina,91
Louisiana,89
Florida,88
Texas,88
Nevada,88
Delaware,88
Georgia,87
Connecticut,86
Vermont,86
Kentucky,86
Massachusetts,86
North Carolina,86
Virginia,85
New York,84
New Jersey,84
Arizona,83
Maine,83
Kansas,82
Indiana,82
Illinois,82
New Hampshire,81
Colorado,81
Alabama,81
Montana,80
Minnesota,80
Tennessee,78
Missouri,78
Wisconsin,78
Oregon,77
Mississippi,77
Maryland,77
Oklahoma,75
Wyoming,75
South Dakota,75
Alaska,75
North Dakota,74
Iowa,73
District of Columbia,72
Arkansas,72
Nebraska,71
Idaho,69
New Mexico,68
Hawaii,66
Utah,54
