Category: All categories

Region,weed: (2008)
Montana,100
Rhode Island,95
Vermont,89
Delaware,88
Maine,86
West Virginia,84
New Hampshire,82
Florida,81
Michigan,81
Arizona,78
New Jersey,78
Mississippi,78
Pennsylvania,78
Louisiana,78
Arkansas,78
New York,76
Kansas,76
Ohio,75
New Mexico,75
Massachusetts,74
Wyoming,74
Hawaii,74
South Carolina,74
Nebraska,74
Nevada,73
Texas,73
North Carolina,73
Missouri,73
Idaho,72
Colorado,72
Connecticut,72
Washington,71
Kentucky,71
Alaska,70
South Dakota,69
Illinois,68
Indiana,68
North Dakota,67
Oregon,67
Georgia,66
Oklahoma,66
Alabama,66
Tennessee,65
Iowa,61
Maryland,61
California,60
Wisconsin,58
District of Columbia,58
Minnesota,56
Virginia,47
Utah,47
