Category: All categories

Region,weed: (2017)
Nevada,100
Alaska,94
Oregon,89
Washington,88
Maine,83
Colorado,80
West Virginia,80
District of Columbia,74
California,73
Michigan,72
Montana,72
Massachusetts,70
Rhode Island,70
Delaware,70
Kentucky,70
New Mexico,68
North Carolina,68
Kansas,67
Illinois,67
Tennessee,66
Arkansas,66
Vermont,66
Louisiana,65
Georgia,65
Mississippi,65
South Carolina,65
Missouri,65
Indiana,65
Pennsylvania,65
Oklahoma,64
Maryland,64
Arizona,63
Alabama,62
Wisconsin,62
Florida,61
Connecticut,61
Virginia,61
New Hampshire,61
Texas,61
Iowa,60
Idaho,59
Ohio,59
Nebraska,58
Minnesota,58
New Jersey,56
Utah,54
Hawaii,53
New York,52
Wyoming,52
North Dakota,51
South Dakota,48
