Category: All categories

Region,worthless: (2016)
Alabama,100
West Virginia,89
Oklahoma,79
Kansas,78
Indiana,76
Ohio,72
New Mexico,71
Wyoming,71
South Carolina,71
Mississippi,71
Louisiana,71
Utah,70
Colorado,69
Nebraska,69
North Dakota,69
North Carolina,69
Kentucky,69
Missouri,69
Iowa,69
Pennsylvania,67
Arkansas,67
Minnesota,67
Tennessee,67
Alaska,66
Idaho,66
Montana,64
Illinois,64
Arizona,62
Wisconsin,61
Michigan,61
Washington,61
Vermont,60
New Hampshire,60
Virginia,60
Delaware,59
Hawaii,58
Texas,58
Georgia,57
New Jersey,57
Oregon,57
Maine,57
Florida,56
Maryland,53
Connecticut,52
Massachusetts,52
South Dakota,50
California,50
New York,49
Nevada,48
Rhode Island,48
District of Columbia,46
