Category: All categories

Region,worthless: (2019)
Alabama,100
West Virginia,84
North Dakota,83
Montana,80
Kansas,80
South Carolina,74
Oklahoma,72
Wyoming,71
South Dakota,71
Hawaii,70
Maine,70
Tennessee,68
New Mexico,68
Iowa,67
Minnesota,67
Kentucky,66
Nebraska,65
Indiana,64
Louisiana,64
Mississippi,64
Oregon,63
Idaho,63
Wisconsin,63
Missouri,62
Utah,61
Ohio,61
Michigan,61
Arkansas,61
Washington,60
North Carolina,59
Colorado,59
Arizona,59
Illinois,58
Nevada,57
Alaska,57
Pennsylvania,55
Massachusetts,55
Virginia,55
New Hampshire,55
Florida,54
Georgia,53
Texas,51
Connecticut,51
Maryland,50
Vermont,48
New Jersey,47
California,46
New York,45
Rhode Island,45
Delaware,42
District of Columbia,41
