Category: All categories

Region,worthless: (2017)
Alabama,100
Wyoming,100
West Virginia,95
Oklahoma,88
New Mexico,85
Arkansas,81
South Carolina,80
Idaho,78
Nebraska,77
Iowa,77
Indiana,77
Kansas,76
Rhode Island,76
Minnesota,76
Utah,75
Tennessee,73
Missouri,73
South Dakota,72
Nevada,72
Maine,72
North Dakota,71
Colorado,70
Mississippi,70
Hawaii,69
Kentucky,69
Washington,69
Vermont,69
North Carolina,68
Arizona,68
Louisiana,66
Ohio,66
Alaska,65
Pennsylvania,65
Montana,65
Wisconsin,64
Illinois,63
Michigan,62
Virginia,62
Georgia,60
Texas,58
Maryland,58
New Jersey,58
Florida,58
New Hampshire,57
Oregon,56
New York,55
Delaware,54
Connecticut,53
Massachusetts,53
California,51
District of Columbia,50
