Category: All categories

Region,worthless: (2018)
West Virginia,100
Alabama,95
Oklahoma,92
Nebraska,87
Alaska,83
Louisiana,83
Indiana,81
South Dakota,79
Iowa,78
Montana,77
Ohio,76
Kansas,76
Idaho,75
Wyoming,75
Oregon,74
Nevada,74
Missouri,73
Kentucky,70
Colorado,69
North Dakota,69
Arkansas,69
North Carolina,68
Washington,68
Vermont,67
New Mexico,67
South Carolina,66
Mississippi,66
Wisconsin,65
Tennessee,65
Utah,65
Georgia,64
Virginia,63
Minnesota,63
Arizona,62
Maine,62
Michigan,62
Maryland,61
Rhode Island,60
Pennsylvania,60
Illinois,59
Texas,58
Florida,58
Hawaii,54
New York,53
Connecticut,52
New Jersey,52
California,49
District of Columbia,49
Delaware,49
Massachusetts,47
New Hampshire,44
