Category: All categories

Region,worthless: (2010)
Montana,100
Indiana,80
South Carolina,77
Hawaii,75
Missouri,65
New Mexico,63
West Virginia,62
Kansas,61
Alabama,60
Louisiana,58
North Carolina,53
Michigan,53
Tennessee,51
Ohio,50
Arizona,50
Minnesota,49
Florida,49
Wisconsin,49
South Dakota,48
Connecticut,48
Pennsylvania,48
Oregon,46
Colorado,46
Maine,44
New Hampshire,44
Texas,44
Utah,43
Idaho,43
Iowa,43
Illinois,43
Maryland,42
Georgia,41
District of Columbia,41
New Jersey,39
North Dakota,38
New York,38
Kentucky,38
Arkansas,38
Oklahoma,37
Washington,36
Massachusetts,34
Rhode Island,30
Alaska,29
Mississippi,29
Nevada,28
Delaware,28
Nebraska,25
California,23
Wyoming,23
Vermont,22
Virginia,17
