Category: All categories

Region,worthless: (2020)
North Dakota,100
West Virginia,95
Alaska,89
Wyoming,87
Alabama,87
Kansas,82
Oklahoma,76
Montana,75
Minnesota,75
South Dakota,74
Iowa,72
New Mexico,72
New Hampshire,70
Hawaii,69
Arkansas,69
Oregon,69
Utah,68
Colorado,67
Indiana,67
Nebraska,66
Washington,66
Arizona,65
Ohio,65
Missouri,65
Tennessee,65
Delaware,65
Idaho,64
Maine,64
Kentucky,64
Michigan,62
North Carolina,61
Mississippi,61
Pennsylvania,61
Nevada,60
Virginia,58
South Carolina,57
Texas,56
Wisconsin,56
Georgia,56
Illinois,56
Florida,55
Maryland,55
Louisiana,54
District of Columbia,54
New Jersey,54
Vermont,53
California,52
Rhode Island,52
Massachusetts,51
Connecticut,51
New York,50
