Category: All categories

Region,worthless: (2014)
Alabama,100
New Mexico,81
Vermont,79
Iowa,78
South Carolina,73
Kansas,73
Mississippi,71
Idaho,70
South Dakota,70
Utah,69
North Carolina,66
Ohio,66
Indiana,65
North Dakota,64
Kentucky,64
Alaska,64
Tennessee,63
Minnesota,63
Arkansas,63
Wisconsin,61
Colorado,61
Maryland,61
Missouri,60
Florida,60
Oklahoma,60
Nevada,59
Arizona,58
Michigan,58
Illinois,57
District of Columbia,56
Washington,56
Georgia,55
West Virginia,55
Delaware,53
Nebraska,53
Texas,53
Pennsylvania,53
Maine,53
Connecticut,52
Louisiana,52
Massachusetts,51
Wyoming,50
California,47
Montana,46
New Jersey,46
New York,45
New Hampshire,45
Rhode Island,43
Virginia,43
Hawaii,36
Oregon,31
