Category: All categories

Region,worthless: (2015)
West Virginia,100
New Mexico,97
Alaska,97
Vermont,93
Iowa,91
Montana,91
South Dakota,91
Alabama,87
Indiana,84
Tennessee,83
Ohio,80
Mississippi,79
Minnesota,78
Delaware,77
Louisiana,77
Arizona,77
North Carolina,76
Maryland,76
Nebraska,76
Nevada,75
Kentucky,74
South Carolina,73
Missouri,72
Wisconsin,71
Pennsylvania,71
Colorado,71
Kansas,70
Illinois,70
Hawaii,70
Georgia,70
Michigan,69
Florida,67
Idaho,67
Oklahoma,66
Arkansas,66
Wyoming,65
District of Columbia,63
Washington,62
Utah,61
North Dakota,61
Texas,60
Maine,60
New Jersey,60
Oregon,58
New York,57
California,56
Massachusetts,54
Connecticut,53
New Hampshire,52
Virginia,44
Rhode Island,33
