Category: All categories

Region,failure: (2005)
Delaware,100
West Virginia,99
Pennsylvania,98
Michigan,97
Illinois,95
Massachusetts,94
California,94
Vermont,92
New Mexico,92
Arkansas,92
New Jersey,91
Ohio,90
Missouri,89
New York,89
Rhode Island,87
District of Columbia,87
Nevada,87
Maine,86
Virginia,85
Connecticut,84
Washington,84
North Carolina,83
Colorado,82
Kentucky,82
Nebraska,82
Maryland,82
Iowa,82
Alabama,81
Oregon,81
Texas,80
Georgia,80
Minnesota,80
New Hampshire,80
Arizona,80
Indiana,80
Kansas,80
South Dakota,79
North Dakota,79
Wyoming,79
Florida,78
Idaho,78
Wisconsin,78
Oklahoma,77
Montana,76
South Carolina,74
Tennessee,73
Alaska,73
Mississippi,73
Utah,68
Hawaii,65
Louisiana,62
