Category: All categories

Region,failure: (2011)
West Virginia,100
Montana,97
South Dakota,94
New Mexico,93
Ohio,92
North Dakota,92
Idaho,92
Indiana,91
Pennsylvania,91
Oregon,89
Tennessee,89
Arkansas,89
Missouri,88
Washington,87
Mississippi,87
Wyoming,86
Maryland,86
New Hampshire,86
Michigan,84
Minnesota,84
North Carolina,83
Alabama,83
Wisconsin,83
Connecticut,83
Virginia,82
Kentucky,81
Massachusetts,80
Nebraska,80
Vermont,80
Arizona,80
Alaska,79
Colorado,79
California,79
Maine,78
New Jersey,78
Oklahoma,78
Florida,78
Kansas,77
District of Columbia,77
Texas,77
Illinois,77
Delaware,76
Rhode Island,75
Hawaii,75
South Carolina,74
Georgia,73
Louisiana,73
Iowa,72
Utah,72
Nevada,66
New York,66
