Category: All categories

Region,failure: (2008)
New Mexico,100
Alabama,98
Delaware,96
Pennsylvania,96
West Virginia,95
Ohio,94
Massachusetts,94
Kentucky,93
Indiana,93
Vermont,93
South Dakota,92
Tennessee,92
Kansas,92
North Dakota,92
Oklahoma,92
Montana,91
Florida,91
Nebraska,90
Missouri,88
Illinois,88
South Carolina,88
Michigan,87
Iowa,87
Utah,87
Mississippi,86
Louisiana,86
Alaska,86
Maryland,86
Maine,86
Minnesota,85
Georgia,84
Idaho,84
New Hampshire,84
Texas,83
Oregon,83
Colorado,83
Arkansas,82
Arizona,82
Wisconsin,81
New Jersey,81
Wyoming,80
Hawaii,79
Connecticut,79
North Carolina,78
Rhode Island,78
California,76
New York,76
District of Columbia,75
Washington,75
Nevada,73
Virginia,67
