Category: All categories

Region,failure: (2013)
Delaware,100
West Virginia,99
Tennessee,99
Pennsylvania,98
Ohio,97
Indiana,96
Connecticut,94
Alabama,92
New Mexico,92
Kentucky,91
North Carolina,91
Oklahoma,91
Michigan,91
South Dakota,90
Maryland,90
Wisconsin,89
Louisiana,88
District of Columbia,88
Virginia,88
New Hampshire,88
Montana,87
North Dakota,86
Maine,86
Minnesota,84
Massachusetts,84
South Carolina,84
Kansas,84
Arkansas,84
Rhode Island,83
Vermont,82
Washington,82
Hawaii,82
Wyoming,82
Colorado,82
Arizona,82
Texas,81
New Jersey,81
Idaho,81
Missouri,80
Alaska,80
Utah,78
California,76
Nebraska,76
Georgia,76
Illinois,75
Florida,75
Iowa,75
Mississippi,72
New York,71
Oregon,67
Nevada,63
