Category: All categories

Region,failure: (2014)
Tennessee,100
Ohio,99
Alabama,91
Delaware,91
Wisconsin,91
Maryland,90
Indiana,89
West Virginia,89
Pennsylvania,87
New Mexico,86
Montana,86
Wyoming,86
Michigan,86
Connecticut,86
Kentucky,85
Idaho,85
Maine,85
South Dakota,84
Alaska,84
Massachusetts,84
Missouri,83
New Hampshire,83
Arkansas,83
North Dakota,82
Washington,82
North Carolina,81
South Carolina,81
Oklahoma,80
Texas,80
District of Columbia,79
Vermont,79
Rhode Island,79
Florida,79
Louisiana,78
New Jersey,78
Utah,78
Kansas,78
Minnesota,77
Illinois,75
Iowa,74
California,74
Mississippi,74
Colorado,73
Georgia,72
Nebraska,70
Arizona,70
New York,69
Hawaii,67
Virginia,67
Nevada,65
Oregon,53
