Category: All categories

Region,failure: (2015)
Tennessee,100
Wyoming,98
Maryland,97
Ohio,97
Missouri,93
West Virginia,93
Kentucky,92
Pennsylvania,92
Indiana,92
Alabama,91
Connecticut,91
Delaware,91
New Hampshire,90
Michigan,90
Maine,90
New Jersey,89
Wisconsin,88
North Carolina,88
South Dakota,87
Montana,86
North Dakota,86
Washington,86
Texas,86
Arizona,86
Louisiana,86
Oklahoma,85
New Mexico,84
Colorado,84
Massachusetts,84
Idaho,83
Alaska,83
Florida,83
Mississippi,83
Arkansas,83
Georgia,82
Rhode Island,80
Iowa,79
Vermont,79
South Carolina,78
Illinois,77
California,77
Kansas,76
District of Columbia,76
Utah,76
Minnesota,76
Nebraska,72
Oregon,71
Nevada,70
New York,69
Virginia,68
Hawaii,67
