Category: All categories

Region,failure: (2009)
West Virginia,100
Alabama,91
Ohio,90
Nebraska,88
Delaware,88
Michigan,86
North Carolina,86
New Mexico,85
Idaho,85
Montana,85
Indiana,85
Illinois,84
South Dakota,84
Mississippi,83
Missouri,82
Massachusetts,82
Pennsylvania,82
Utah,82
Maryland,81
Arkansas,81
Oklahoma,81
Kansas,80
Texas,80
Wyoming,79
Kentucky,79
Florida,79
Minnesota,79
South Carolina,78
New Hampshire,78
Washington,77
North Dakota,77
Tennessee,77
Alaska,77
Iowa,77
Georgia,76
Arizona,76
Wisconsin,75
New Jersey,74
Oregon,74
Connecticut,74
Louisiana,74
Rhode Island,74
Colorado,72
District of Columbia,71
Vermont,70
New York,69
Maine,67
Hawaii,66
Nevada,62
California,57
Virginia,44
