Category: All categories

Region,failure: (2017)
Mississippi,100
Tennessee,98
Missouri,93
Ohio,91
Arkansas,91
Oklahoma,89
Alabama,89
Pennsylvania,89
Kentucky,89
Michigan,88
Minnesota,87
South Dakota,87
Indiana,87
Connecticut,87
Maryland,87
Virginia,87
Montana,87
Georgia,87
Massachusetts,86
West Virginia,85
Iowa,84
Washington,84
Kansas,83
Colorado,83
South Carolina,83
Arizona,83
North Dakota,83
Alaska,82
Wisconsin,82
Illinois,81
New Jersey,81
North Carolina,81
Oregon,81
Texas,81
Louisiana,80
Wyoming,80
Delaware,80
Utah,78
New Hampshire,78
District of Columbia,77
Maine,77
New Mexico,76
Vermont,76
California,75
New York,74
Rhode Island,74
Idaho,74
Florida,73
Nebraska,72
Nevada,69
Hawaii,65
