Category: All categories

Region,failure: (2010)
West Virginia,100
Delaware,99
Missouri,95
North Dakota,95
Ohio,92
New Mexico,92
South Dakota,90
Alaska,89
Nebraska,88
Wyoming,87
Indiana,87
Alabama,86
North Carolina,86
Kansas,86
Kentucky,86
Pennsylvania,86
Maryland,86
Montana,85
Idaho,85
Minnesota,84
Arkansas,84
Michigan,84
Oklahoma,83
South Carolina,82
District of Columbia,81
Utah,81
Rhode Island,81
Louisiana,80
Tennessee,80
Arizona,80
Iowa,79
Texas,79
Mississippi,79
Massachusetts,79
Colorado,79
Illinois,79
Maine,79
New Hampshire,77
Washington,76
Oregon,76
Georgia,76
Wisconsin,75
New Jersey,75
Nevada,75
New York,72
Florida,71
Connecticut,71
Hawaii,69
California,53
Vermont,51
Virginia,38
