Category: All categories

Region,Dependent personality disorder: (2019)
West Virginia,100
Vermont,96
North Dakota,
Maine,50
New Mexico,39
South Dakota,
Iowa,39
Kentucky,39
Rhode Island,35
Delaware,35
Mississippi,35
Idaho,32
Minnesota,32
Utah,32
Oregon,32
Pennsylvania,32
Maryland,32
Connecticut,28
Nebraska,28
Louisiana,28
Oklahoma,28
Indiana,28
Hawaii,
Michigan,28
Alaska,
Missouri,28
Arkansas,28
Wisconsin,28
Colorado,25
New Hampshire,25
Illinois,25
Massachusetts,25
Arizona,25
Ohio,21
New York,21
Tennessee,21
California,21
North Carolina,21
Virginia,21
Florida,21
Texas,17
Washington,17
Georgia,17
Alabama,17
Nevada,14
New Jersey,10
District of Columbia,10
Kansas,10
South Carolina,10
Montana,
Wyoming,
