Category: All categories

Region,Dependent personality disorder: (2007)
Mississippi,100
Alaska,
Hawaii,
New Hampshire,78
Oklahoma,73
Connecticut,69
Kansas,64
Alabama,45
Iowa,45
Utah,40
Michigan,40
Missouri,33
Colorado,30
Maryland,30
Massachusetts,26
District of Columbia,26
North Carolina,23
Kentucky,23
Georgia,21
Oregon,21
Indiana,21
Pennsylvania,19
Minnesota,19
New York,19
Ohio,16
Florida,16
Texas,14
Virginia,11
Illinois,11
Washington,11
California,11
New Jersey,11
Arizona,9
Arkansas,
Delaware,
Idaho,
Louisiana,
Maine,
Montana,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
