Category: All categories

Region,Dependent personality disorder: (2009)
Oklahoma,100
Maine,76
Vermont,55
Indiana,51
Alaska,
Rhode Island,40
Hawaii,
New Mexico,38
Kentucky,31
Iowa,31
Missouri,27
Louisiana,25
District of Columbia,23
Tennessee,23
Oregon,21
Colorado,19
Pennsylvania,19
Michigan,19
Arizona,19
Georgia,19
Kansas,17
Ohio,17
Florida,17
Massachusetts,14
Minnesota,14
Texas,14
Wisconsin,12
Connecticut,12
New Jersey,12
New York,12
California,10
Illinois,10
Virginia,6
North Carolina,4
Washington,4
Alabama,
Arkansas,
Delaware,
Idaho,
Maryland,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
South Carolina,
South Dakota,
Utah,
West Virginia,
Wyoming,
