Category: All categories

Region,Dependent personality disorder: (2012)
Maine,100
North Dakota,
New Mexico,78
Delaware,73
Maryland,56
Iowa,56
Arkansas,52
Oregon,47
Alabama,47
Oklahoma,47
Pennsylvania,43
Nevada,43
Massachusetts,43
Connecticut,43
Vermont,39
Arizona,39
Washington,39
New Jersey,39
Alaska,
Illinois,39
New York,34
Ohio,34
Kansas,34
Georgia,34
District of Columbia,34
Wisconsin,30
California,30
Tennessee,30
Michigan,30
Mississippi,30
Indiana,30
Virginia,30
West Virginia,30
North Carolina,30
Idaho,30
Nebraska,30
Minnesota,30
Utah,26
South Carolina,26
Hawaii,
Florida,26
Colorado,26
Kentucky,21
Texas,21
Louisiana,17
Missouri,13
Montana,
New Hampshire,
Rhode Island,
South Dakota,
Wyoming,
