Category: All categories

Region,gay: (2012)
West Virginia,100
Nevada,92
Rhode Island,91
New Mexico,89
Florida,89
Georgia,88
Louisiana,88
Mississippi,87
Arkansas,87
South Carolina,87
Indiana,86
Hawaii,85
Kentucky,85
New York,84
Pennsylvania,83
Alabama,83
Texas,82
California,82
New Jersey,81
Massachusetts,81
Illinois,81
District of Columbia,81
Oklahoma,80
Virginia,80
Michigan,80
Delaware,79
Ohio,79
Maine,79
Arizona,79
Connecticut,78
North Carolina,78
Missouri,76
Utah,76
Maryland,76
Kansas,73
Washington,73
New Hampshire,72
Tennessee,72
Colorado,72
Nebraska,69
Vermont,69
Alaska,68
Iowa,68
Oregon,68
Wisconsin,67
Minnesota,66
North Dakota,64
Wyoming,64
South Dakota,63
Idaho,62
Montana,61
