Category: All categories

Region,gay: (2017)
Nevada,100
New Mexico,99
Delaware,97
Mississippi,94
Florida,93
Louisiana,91
West Virginia,91
New York,91
Alabama,89
District of Columbia,88
Kentucky,87
California,86
Rhode Island,85
Hawaii,84
Arkansas,84
Oklahoma,83
Arizona,83
Tennessee,82
Massachusetts,82
Georgia,82
Texas,82
South Carolina,81
New Jersey,81
Connecticut,81
Maryland,80
Ohio,80
Illinois,80
Indiana,79
North Carolina,77
Virginia,75
Maine,75
Michigan,73
Pennsylvania,73
Oregon,73
Missouri,72
Alaska,70
Colorado,69
Washington,69
Vermont,68
Kansas,68
New Hampshire,68
Nebraska,66
Utah,64
Wisconsin,63
Iowa,63
North Dakota,62
Minnesota,60
South Dakota,60
Montana,59
Idaho,59
Wyoming,58
