Category: All categories

Region,gay: (2008)
Rhode Island,100
Mississippi,96
Virginia,95
Florida,94
Hawaii,93
New York,92
California,92
Arkansas,92
Nevada,89
Louisiana,88
Texas,88
New Jersey,87
Kentucky,86
Ohio,84
South Carolina,84
Alabama,84
District of Columbia,84
Maryland,84
Pennsylvania,84
Arizona,83
Connecticut,83
Delaware,83
Massachusetts,82
Tennessee,81
West Virginia,81
Georgia,80
Missouri,80
Maine,80
Oklahoma,79
Indiana,79
Kansas,79
New Mexico,78
Michigan,77
North Carolina,77
Illinois,76
Washington,76
Nebraska,74
Colorado,74
Wyoming,72
New Hampshire,71
Vermont,70
Utah,68
South Dakota,68
Oregon,67
Iowa,67
Wisconsin,66
Minnesota,66
Montana,64
Alaska,64
North Dakota,60
Idaho,56
