Category: All categories

Region,gay: (2011)
Louisiana,100
Mississippi,94
New York,93
West Virginia,93
South Carolina,92
New Mexico,91
Rhode Island,91
Nevada,90
Kentucky,90
Alabama,90
Michigan,90
Texas,88
Delaware,88
Florida,88
California,88
Virginia,87
Illinois,87
Arizona,87
Indiana,87
Georgia,87
Hawaii,87
Tennessee,86
Maryland,86
New Jersey,85
Connecticut,85
Pennsylvania,84
District of Columbia,84
North Carolina,83
Missouri,82
Ohio,82
Massachusetts,81
New Hampshire,80
Arkansas,79
Iowa,79
Kansas,78
Colorado,78
Oklahoma,78
Minnesota,76
Washington,76
Maine,74
Vermont,73
Wisconsin,73
Nebraska,72
Utah,72
Oregon,67
Alaska,66
Wyoming,65
Idaho,64
North Dakota,64
South Dakota,60
Montana,58
