Category: All categories

Region,gay: (2013)
Mississippi,100
Oregon,95
New York,95
New Mexico,92
West Virginia,90
Nevada,90
California,89
District of Columbia,88
Florida,88
Rhode Island,88
Louisiana,87
Georgia,87
Texas,85
Hawaii,83
Arizona,83
Massachusetts,83
South Carolina,82
Kentucky,82
Arkansas,82
Kansas,81
Alabama,81
Illinois,81
Indiana,80
Ohio,80
Pennsylvania,80
Tennessee,79
Maine,79
North Carolina,79
Virginia,77
Oklahoma,77
Missouri,77
Michigan,75
Delaware,74
Maryland,74
New Hampshire,73
Utah,73
Connecticut,72
Colorado,71
Vermont,71
Washington,70
New Jersey,70
Nebraska,69
Wisconsin,68
North Dakota,68
Minnesota,67
Iowa,65
South Dakota,65
Idaho,65
Wyoming,64
Alaska,62
Montana,62
