Category: All categories

Region,gay: (2015)
Mississippi,100
Nevada,95
Louisiana,95
New Mexico,95
New York,91
Rhode Island,90
Arkansas,90
Florida,90
Kentucky,90
South Carolina,89
West Virginia,88
Tennessee,88
Alabama,86
Oklahoma,85
Kansas,85
Georgia,85
Hawaii,85
District of Columbia,84
Texas,84
California,83
Arizona,81
Massachusetts,80
Pennsylvania,80
Indiana,80
Missouri,79
Oregon,79
North Carolina,79
Maryland,78
New Jersey,78
Virginia,77
Illinois,77
Maine,76
Delaware,76
Iowa,74
Idaho,73
Ohio,73
Michigan,73
Utah,73
Washington,72
Connecticut,72
Vermont,72
New Hampshire,71
Colorado,69
Alaska,69
North Dakota,68
Wyoming,67
Nebraska,67
Minnesota,67
South Dakota,65
Wisconsin,64
Montana,62
