Category: All categories

Region,gender dysphoria: (2015)
Vermont,100
Wyoming,83
Connecticut,62
Alaska,62
Maryland,60
Indiana,60
Washington,58
Maine,58
Utah,56
Arkansas,56
New Mexico,56
Minnesota,54
Massachusetts,52
Oregon,52
Rhode Island,50
Iowa,50
Kentucky,49
Arizona,47
Pennsylvania,47
Ohio,47
Illinois,47
Tennessee,45
New Hampshire,45
Nevada,45
Alabama,45
North Carolina,45
Florida,43
New York,43
Missouri,43
Oklahoma,41
Colorado,41
Michigan,41
Kansas,41
New Jersey,39
North Dakota,39
California,39
Georgia,39
Montana,37
District of Columbia,37
Wisconsin,35
Delaware,35
Nebraska,35
Texas,33
Virginia,33
Hawaii,32
South Dakota,30
West Virginia,28
South Carolina,28
Louisiana,26
Idaho,26
Mississippi,20
