Category: All categories

Region,gender dysphoria: (2013)
Alaska,100
New Hampshire,95
Vermont,79
West Virginia,62
Arkansas,58
Utah,50
Minnesota,50
Washington,50
Tennessee,45
Massachusetts,45
North Dakota,45
Pennsylvania,41
Connecticut,41
Louisiana,41
Maine,41
Nebraska,41
South Carolina,37
Ohio,37
Oregon,37
Maryland,37
California,33
Kentucky,33
Arizona,33
Virginia,33
Illinois,33
New York,33
Wisconsin,29
Indiana,29
Florida,29
Delaware,29
Mississippi,29
Missouri,29
Kansas,29
New Jersey,29
Michigan,29
Hawaii,25
Idaho,25
Georgia,25
North Carolina,25
Texas,25
Colorado,20
Oklahoma,20
Nevada,16
Iowa,16
Alabama,
District of Columbia,
Montana,
New Mexico,
Rhode Island,
South Dakota,
Wyoming,
