Category: All categories

Region,gender dysphoria: (2009)
Wyoming,100
Idaho,59
Nebraska,57
Hawaii,57
Iowa,47
Indiana,45
New Mexico,38
South Carolina,19
Colorado,16
Tennessee,16
North Carolina,14
Arizona,11
Illinois,11
Connecticut,11
Pennsylvania,9
Massachusetts,9
New Jersey,9
Georgia,9
Washington,9
Wisconsin,7
Minnesota,7
District of Columbia,7
California,7
New York,7
Florida,7
Texas,7
Virginia,4
Ohio,4
Alaska,
Alabama,
Arkansas,
Delaware,
Kansas,
Kentucky,
Louisiana,
Maryland,
Maine,
Michigan,
Missouri,
Mississippi,
Montana,
North Dakota,
New Hampshire,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Utah,
Vermont,
West Virginia,
