Category: All categories

Region,gender dysphoria: (2017)
Vermont,100
South Dakota,92
Oregon,87
Utah,83
Alaska,83
Minnesota,81
Idaho,81
New Hampshire,79
Connecticut,79
Mississippi,79
Delaware,77
West Virginia,75
Kentucky,75
New Mexico,75
Wyoming,75
Kansas,75
Iowa,75
Washington,74
Virginia,74
Nebraska,72
Indiana,72
Maine,72
Massachusetts,70
Ohio,70
Missouri,70
Pennsylvania,70
North Dakota,70
Colorado,68
Wisconsin,68
District of Columbia,66
Arizona,66
Oklahoma,64
Michigan,64
North Carolina,64
South Carolina,62
Maryland,61
Louisiana,61
Arkansas,59
Tennessee,59
Nevada,59
New Jersey,59
Hawaii,57
Illinois,57
Alabama,57
New York,57
Rhode Island,53
Georgia,53
California,53
Florida,50
Texas,48
Montana,14
