Category: All categories

Region,single: (2011)
Virginia,100
Vermont,95
Maryland,93
Arkansas,87
Georgia,87
Oklahoma,87
Utah,87
Louisiana,86
North Carolina,86
Pennsylvania,85
New Hampshire,85
Massachusetts,84
Michigan,84
South Carolina,84
Indiana,84
Delaware,84
Missouri,83
South Dakota,82
Alabama,82
Mississippi,82
New Jersey,82
Kansas,81
Washington,81
Colorado,81
Tennessee,80
Florida,80
Iowa,80
Oregon,79
California,79
Wyoming,79
Minnesota,79
Ohio,79
North Dakota,79
Illinois,78
Connecticut,78
Hawaii,78
Arizona,78
Texas,78
Kentucky,77
Wisconsin,76
New York,76
New Mexico,76
Nebraska,76
Montana,76
Alaska,76
West Virginia,76
Nevada,74
District of Columbia,74
Idaho,72
Rhode Island,71
Maine,67
