Category: All categories

Region,single: (2017)
Vermont,100
Oregon,89
Arkansas,89
Kansas,88
Oklahoma,87
New York,87
New Hampshire,86
Kentucky,86
Virginia,86
Maryland,86
Massachusetts,84
Maine,84
Alabama,84
Montana,83
Missouri,83
Indiana,83
Iowa,82
Pennsylvania,82
California,82
Utah,81
Washington,81
Tennessee,80
Colorado,80
Idaho,80
Ohio,79
North Carolina,79
Texas,78
Delaware,78
Arizona,78
Connecticut,78
New Mexico,77
Louisiana,77
District of Columbia,77
South Carolina,77
Michigan,77
Wisconsin,77
Alaska,76
Illinois,75
Nebraska,75
West Virginia,75
South Dakota,75
Mississippi,74
Rhode Island,74
Nevada,74
North Dakota,74
Minnesota,74
Georgia,73
Hawaii,71
New Jersey,71
Florida,70
Wyoming,68
