Category: All categories

Region,single: (2018)
Kansas,100
Oregon,99
Vermont,98
Oklahoma,97
Arkansas,96
Colorado,94
Idaho,94
Indiana,93
Arizona,92
District of Columbia,91
Louisiana,91
Maryland,91
California,91
South Carolina,91
Kentucky,91
North Carolina,90
Utah,90
Virginia,90
Montana,90
New Hampshire,89
Massachusetts,89
New York,89
Mississippi,88
West Virginia,88
Washington,87
Alabama,87
Iowa,87
Pennsylvania,87
New Mexico,87
Georgia,86
Delaware,86
Nebraska,85
Connecticut,85
Missouri,84
Wisconsin,84
Michigan,84
Illinois,83
South Dakota,82
Maine,82
North Dakota,81
Minnesota,81
Rhode Island,81
Alaska,81
Nevada,80
Florida,80
Wyoming,80
Ohio,79
Hawaii,79
Texas,79
Tennessee,77
New Jersey,74
