Category: All categories

Region,single: (2006)
Vermont,100
Michigan,99
Wyoming,98
Texas,97
Idaho,97
North Dakota,95
New Jersey,95
Ohio,95
Oklahoma,94
Pennsylvania,93
Nevada,93
Arkansas,93
Alabama,93
Delaware,92
Kansas,92
Utah,92
West Virginia,91
Washington,91
Virginia,91
Illinois,91
Louisiana,90
South Carolina,89
California,89
Mississippi,88
Kentucky,88
Rhode Island,87
Florida,86
Montana,85
Tennessee,85
Maryland,85
Alaska,84
North Carolina,83
Massachusetts,83
New Mexico,83
Georgia,83
Colorado,83
New Hampshire,82
Nebraska,82
Indiana,82
Maine,81
New York,81
South Dakota,80
Hawaii,80
Arizona,80
Missouri,79
Connecticut,77
Wisconsin,77
District of Columbia,76
Iowa,76
Oregon,75
Minnesota,73
