Category: All categories

Region,single: (2007)
Arkansas,100
Vermont,97
Colorado,96
Delaware,95
Maryland,94
Wyoming,93
North Dakota,92
Mississippi,91
Texas,90
Michigan,90
New Mexico,89
Florida,88
Alaska,88
District of Columbia,87
West Virginia,87
Idaho,87
North Carolina,86
Utah,86
California,86
Virginia,85
Hawaii,84
Kansas,84
Illinois,84
Nebraska,84
Georgia,83
New Jersey,83
Alabama,83
Montana,83
Nevada,83
Maine,83
Oklahoma,83
Washington,83
Minnesota,83
Pennsylvania,82
Massachusetts,82
New Hampshire,82
Ohio,81
South Carolina,81
Rhode Island,79
Iowa,78
Louisiana,78
Kentucky,78
Tennessee,78
Wisconsin,77
New York,77
Indiana,76
Missouri,76
South Dakota,76
Arizona,74
Connecticut,74
Oregon,73
