Category: All categories

Region,Divorce: (2004)
Arkansas,100
Tennessee,97
Texas,97
Utah,94
Colorado,94
Alabama,93
Indiana,92
Oklahoma,90
South Carolina,90
Nebraska,89
New Mexico,89
Georgia,86
Kentucky,85
Kansas,84
Nevada,83
Mississippi,83
Arizona,83
District of Columbia,82
North Carolina,82
Virginia,81
Missouri,81
South Dakota,78
Delaware,78
Michigan,78
Louisiana,78
Iowa,77
Hawaii,77
West Virginia,76
Maryland,76
Ohio,76
Washington,76
Florida,75
North Dakota,73
Montana,72
Illinois,72
California,71
Oregon,70
Minnesota,69
Connecticut,69
New Hampshire,69
Wisconsin,69
New Jersey,69
Rhode Island,68
Idaho,68
Alaska,67
Pennsylvania,66
Wyoming,64
Massachusetts,63
Maine,60
New York,59
Vermont,57
