Category: All categories

Region,Divorce: (2011)
Oklahoma,100
Texas,98
Georgia,95
Tennessee,93
District of Columbia,89
Louisiana,88
Nevada,88
North Carolina,88
Alabama,88
Indiana,86
Maryland,86
Arizona,86
South Carolina,85
Utah,85
Mississippi,84
Florida,83
Kentucky,82
Ohio,82
Illinois,81
Arkansas,81
Missouri,80
Kansas,80
Michigan,80
Nebraska,79
Delaware,78
Virginia,78
New Jersey,77
Pennsylvania,77
South Dakota,77
Connecticut,77
Colorado,76
Washington,76
Wisconsin,75
Minnesota,75
North Dakota,74
New York,73
Wyoming,73
Massachusetts,73
Montana,73
California,72
Rhode Island,72
West Virginia,72
Alaska,71
Idaho,69
Iowa,69
Oregon,68
Hawaii,66
New Mexico,66
New Hampshire,65
Maine,60
Vermont,55
