Category: All categories

Region,Divorce: (2020)
Arkansas,100
Tennessee,99
Georgia,98
Mississippi,97
Louisiana,93
Oklahoma,92
South Carolina,90
Texas,90
Alabama,89
Utah,88
Maryland,88
Indiana,87
Missouri,86
Nevada,85
Idaho,85
Kansas,84
Michigan,84
Kentucky,84
North Carolina,83
Connecticut,83
Florida,82
Virginia,82
Colorado,82
Wyoming,81
Iowa,79
Massachusetts,79
Washington,79
New York,79
Hawaii,79
District of Columbia,78
Minnesota,77
West Virginia,77
New Jersey,77
Arizona,77
Pennsylvania,76
Illinois,76
Wisconsin,76
New Hampshire,76
Alaska,75
North Dakota,74
Oregon,74
California,74
New Mexico,74
Ohio,73
Nebraska,73
Delaware,71
Vermont,69
South Dakota,67
Rhode Island,66
Montana,64
Maine,61
