Category: All categories

Region,Divorce: (2017)
Mississippi,100
Tennessee,98
Arkansas,93
Wyoming,92
Oklahoma,92
Utah,90
Georgia,88
Virginia,87
Alabama,86
Missouri,86
South Carolina,85
Colorado,85
Texas,83
North Carolina,83
Idaho,83
Indiana,82
Kansas,82
Illinois,81
Kentucky,81
Florida,80
Oregon,80
District of Columbia,79
New York,79
Maryland,78
Ohio,78
Arizona,78
Washington,78
Louisiana,78
Connecticut,78
Nevada,77
Nebraska,77
Alaska,77
Michigan,77
Pennsylvania,77
Minnesota,77
Wisconsin,76
Iowa,76
North Dakota,74
New Jersey,74
California,73
Massachusetts,72
West Virginia,70
New Mexico,70
Montana,70
South Dakota,69
New Hampshire,68
Hawaii,64
Delaware,64
Vermont,63
Maine,62
Rhode Island,60
