Category: All categories

Region,Divorce: (2007)
Georgia,100
Oklahoma,99
Mississippi,97
Alabama,94
Texas,94
Tennessee,94
Nevada,93
Arkansas,92
South Carolina,89
Arizona,87
Virginia,87
Ohio,87
Kansas,86
Florida,86
North Dakota,86
Idaho,86
Delaware,86
Utah,86
Wyoming,84
Colorado,84
West Virginia,84
Nebraska,82
New Mexico,82
Missouri,82
Alaska,82
Illinois,82
Louisiana,81
District of Columbia,81
Indiana,81
Kentucky,80
North Carolina,79
Montana,77
New Hampshire,76
South Dakota,76
Maryland,75
Iowa,75
Hawaii,75
Michigan,75
Washington,75
New Jersey,75
Pennsylvania,71
Minnesota,69
Oregon,68
California,67
Connecticut,67
Rhode Island,67
Wisconsin,66
Maine,66
New York,64
Massachusetts,64
Vermont,60
