Category: All categories

Region,Divorce: (2012)
Oklahoma,100
Texas,100
Tennessee,98
Alabama,95
Virginia,95
Mississippi,95
Georgia,94
Arkansas,92
Utah,91
South Carolina,91
Nevada,91
District of Columbia,89
Nebraska,89
Kentucky,87
Louisiana,87
Florida,86
Missouri,86
North Carolina,86
Arizona,86
Maryland,85
Ohio,85
Connecticut,83
Indiana,83
Colorado,82
Kansas,82
New Jersey,82
Illinois,82
Pennsylvania,82
Massachusetts,79
Washington,79
Delaware,78
Minnesota,78
California,78
Michigan,77
Oregon,77
Hawaii,76
North Dakota,76
Wisconsin,75
Alaska,75
New York,75
South Dakota,74
Iowa,74
Wyoming,73
West Virginia,73
Idaho,72
Montana,70
New Mexico,68
Rhode Island,67
Maine,64
New Hampshire,64
Vermont,63
