Category: All categories

Region,Divorce: (2008)
Georgia,100
Mississippi,96
Oklahoma,91
Texas,89
Arkansas,89
Alabama,88
South Carolina,87
Tennessee,86
Colorado,85
Nevada,84
West Virginia,83
District of Columbia,82
Missouri,82
Florida,82
Kansas,81
Maryland,80
Ohio,80
Utah,80
Delaware,80
Kentucky,77
Arizona,76
New Mexico,76
Michigan,75
Illinois,74
Minnesota,74
Nebraska,74
North Carolina,74
Washington,74
Iowa,73
Louisiana,73
South Dakota,72
Idaho,72
Hawaii,72
Montana,71
Vermont,71
New Jersey,71
New Hampshire,71
Alaska,69
Wisconsin,69
North Dakota,69
Indiana,69
Wyoming,69
Pennsylvania,68
Maine,67
New York,66
Rhode Island,65
Massachusetts,65
Oregon,64
Connecticut,63
Virginia,61
California,57
