Category: All categories

Region,Divorce: (2013)
Tennessee,100
Oklahoma,92
Mississippi,89
Maryland,89
Georgia,88
Arkansas,85
Alabama,83
South Carolina,83
Missouri,82
Texas,81
Virginia,81
Indiana,80
Nevada,80
District of Columbia,79
Louisiana,78
North Carolina,77
Kentucky,77
Arizona,76
New Jersey,76
Michigan,76
Kansas,75
Colorado,74
Florida,74
Utah,74
Delaware,74
North Dakota,74
Connecticut,73
Wisconsin,73
Illinois,72
Minnesota,72
Pennsylvania,71
Ohio,71
Washington,70
Nebraska,69
South Dakota,69
Iowa,69
Wyoming,68
Hawaii,68
California,67
Alaska,66
New York,66
Massachusetts,66
West Virginia,65
Montana,64
New Hampshire,63
Idaho,62
New Mexico,61
Maine,59
Rhode Island,56
Vermont,52
Oregon,45
