Category: All categories

Region,Divorce: (2014)
Tennessee,100
Georgia,94
Mississippi,94
Alabama,93
Oklahoma,92
Utah,91
Arkansas,91
Washington,89
South Carolina,89
Nevada,89
Texas,86
Louisiana,86
Ohio,85
Michigan,84
Florida,84
North Carolina,83
Maryland,83
Missouri,82
Arizona,82
Kansas,82
Kentucky,82
Minnesota,81
Nebraska,80
Illinois,80
Indiana,80
Colorado,79
New Jersey,79
Delaware,78
District of Columbia,77
Iowa,76
Connecticut,75
Wisconsin,75
North Dakota,75
California,75
Hawaii,74
New York,74
South Dakota,73
Pennsylvania,73
Massachusetts,72
Idaho,70
Alaska,70
West Virginia,70
Montana,68
Wyoming,68
Virginia,66
Rhode Island,65
New Mexico,65
New Hampshire,64
Maine,61
Vermont,60
Oregon,42
