Category: All categories

Region,existential crisis: (2018)
Vermont,
District of Columbia,100
Oregon,96
Washington,96
New Mexico,93
Alaska,
Rhode Island,90
Utah,90
Nebraska,87
Montana,
Hawaii,83
Oklahoma,83
Michigan,83
Massachusetts,80
Colorado,77
California,77
Connecticut,77
Nevada,77
New York,74
Arizona,74
Virginia,74
New Hampshire,74
Maryland,74
Illinois,70
Pennsylvania,70
Delaware,
New Jersey,67
Texas,67
North Carolina,67
Maine,67
Tennessee,61
Indiana,61
Minnesota,61
Ohio,61
Wisconsin,61
Florida,61
West Virginia,61
Kansas,58
South Dakota,
Missouri,58
Georgia,54
Alabama,54
Iowa,54
Louisiana,54
South Carolina,54
Kentucky,51
Arkansas,48
Idaho,48
North Dakota,
Mississippi,35
Wyoming,
