Category: All categories

Region,existential crisis: (2021)
Utah,100
Alaska,
Washington,87
Idaho,85
Rhode Island,80
Maine,75
Oregon,73
Arkansas,73
California,70
Vermont,
Hawaii,68
Colorado,65
Indiana,63
Connecticut,63
North Carolina,63
Arizona,60
Virginia,60
Nevada,60
Oklahoma,58
Nebraska,58
Ohio,58
Wyoming,
Wisconsin,58
Massachusetts,58
New Hampshire,56
Michigan,56
Kansas,56
Illinois,56
Texas,56
Pennsylvania,53
Tennessee,53
Montana,
Maryland,53
North Dakota,
New York,51
Minnesota,51
District of Columbia,51
Florida,48
Missouri,48
Louisiana,46
Iowa,46
Georgia,46
New Mexico,46
Alabama,43
New Jersey,43
South Carolina,43
West Virginia,41
Delaware,
Kentucky,39
South Dakota,
Mississippi,26
