Category: All categories

Region,existential crisis: (2015)
Vermont,
North Dakota,
New Mexico,100
South Dakota,
Maine,93
West Virginia,86
Indiana,86
Iowa,86
Oklahoma,86
Montana,
Nevada,82
Utah,82
Washington,79
Minnesota,79
Arkansas,79
Alaska,
Arizona,79
Ohio,75
Louisiana,75
Massachusetts,72
Rhode Island,72
California,72
Pennsylvania,72
Colorado,72
Mississippi,72
Alabama,68
Missouri,68
Wisconsin,68
New York,65
Oregon,65
Michigan,65
Florida,65
Maryland,62
Tennessee,62
Connecticut,62
Georgia,62
New Jersey,58
Illinois,58
Idaho,58
Kansas,55
Kentucky,55
South Carolina,55
Nebraska,55
Texas,55
District of Columbia,51
North Carolina,51
Virginia,48
Wyoming,
Hawaii,48
Delaware,
New Hampshire,17
