Category: All categories

Region,existential crisis: (2017)
Alaska,
Vermont,
Wyoming,
Rhode Island,100
Washington,94
Utah,94
Oklahoma,84
Oregon,84
Colorado,82
Nevada,82
California,82
West Virginia,82
Massachusetts,79
New Mexico,79
New Hampshire,79
District of Columbia,76
Arkansas,74
New Jersey,74
Illinois,74
Hawaii,74
New York,74
Nebraska,74
Pennsylvania,71
Arizona,71
Indiana,69
Maryland,69
Virginia,69
Idaho,69
Missouri,66
Michigan,66
Maine,66
Tennessee,64
Connecticut,64
Kansas,61
Kentucky,61
Florida,61
Alabama,61
Minnesota,58
Louisiana,58
Texas,58
Wisconsin,58
North Carolina,56
Ohio,56
Iowa,56
North Dakota,
South Carolina,51
Delaware,
Georgia,51
Montana,
Mississippi,43
South Dakota,
