Category: All categories

Region,existential crisis: (2014)
District of Columbia,100
Rhode Island,96
Delaware,
Wyoming,
New Hampshire,86
North Dakota,
Massachusetts,75
Michigan,75
Pennsylvania,72
Arkansas,72
Maryland,72
Connecticut,72
Nevada,68
New Mexico,68
New York,68
California,68
Washington,65
Idaho,65
New Jersey,65
Missouri,65
Utah,62
Colorado,62
Ohio,62
Arizona,58
Illinois,58
North Carolina,58
Hawaii,55
Wisconsin,55
Florida,55
Tennessee,55
Louisiana,51
Iowa,51
Texas,51
Oklahoma,51
Minnesota,51
Maine,51
Georgia,48
Kentucky,48
Mississippi,48
Kansas,48
Nebraska,44
Virginia,44
South Carolina,44
Indiana,41
Oregon,41
Alabama,41
West Virginia,27
Alaska,
Montana,
South Dakota,
Vermont,
