Category: All categories

Region,existential crisis: (2008)
Vermont,
South Dakota,
Iowa,100
South Carolina,78
Missouri,63
Utah,57
Kansas,52
Indiana,47
Alabama,42
Oregon,31
Massachusetts,26
New Jersey,26
Maryland,26
Tennessee,26
New York,26
Arizona,21
Colorado,21
Pennsylvania,21
Ohio,21
District of Columbia,15
Michigan,15
Texas,15
Wisconsin,15
Illinois,15
North Carolina,15
California,10
Georgia,5
Florida,5
Alaska,
Arkansas,
Connecticut,
Delaware,
Hawaii,
Idaho,
Kentucky,
Louisiana,
Maine,
Minnesota,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
Virginia,
Washington,
West Virginia,
Wyoming,
