Category: All categories

Region,transphobia: (2013)
Delaware,
Maine,100
Rhode Island,88
Nebraska,58
Arkansas,47
Connecticut,35
Kentucky,35
Massachusetts,35
Washington,35
New Hampshire,35
Tennessee,35
Indiana,29
District of Columbia,29
Illinois,29
Louisiana,29
Oregon,29
Maryland,29
New York,29
Hawaii,29
Idaho,29
Michigan,23
Virginia,23
Kansas,23
Iowa,23
Pennsylvania,23
California,23
New Jersey,17
Minnesota,17
North Carolina,17
Utah,17
Texas,17
Florida,17
Missouri,11
Wisconsin,11
Colorado,11
Nevada,11
Georgia,11
Arizona,11
Ohio,11
South Carolina,5
Alabama,5
Alaska,
Mississippi,
Montana,
North Dakota,
New Mexico,
Oklahoma,
South Dakota,
Vermont,
West Virginia,
Wyoming,
