Category: All categories

Region,transphobia: (2017)
Vermont,100
South Dakota,
North Dakota,
Maine,80
New Mexico,61
Connecticut,52
Rhode Island,47
Oregon,47
Massachusetts,42
Washington,42
Idaho,38
Iowa,33
New York,33
Pennsylvania,28
Minnesota,28
District of Columbia,28
Illinois,28
Wisconsin,28
Nevada,28
Utah,28
Michigan,28
Maryland,23
Georgia,23
New Hampshire,23
California,23
Indiana,23
North Carolina,19
Ohio,19
Virginia,19
Kentucky,19
Louisiana,19
Arizona,19
Oklahoma,14
Tennessee,14
Kansas,14
Texas,14
Missouri,14
Alabama,14
Florida,14
New Jersey,14
South Carolina,4
Colorado,4
Alaska,
Arkansas,
Delaware,
Hawaii,
Mississippi,
Montana,
Nebraska,
West Virginia,
Wyoming,
