Category: All categories

Region,transphobia: (2019)
South Dakota,
Alaska,
Rhode Island,100
Montana,88
District of Columbia,88
Iowa,82
Maine,76
Oregon,70
Arkansas,70
Washington,70
Connecticut,58
Massachusetts,58
Nebraska,58
Minnesota,52
Maryland,52
Colorado,52
New York,52
Nevada,47
California,47
Arizona,47
Utah,47
Pennsylvania,41
Vermont,41
New Hampshire,41
Illinois,41
Kansas,41
Virginia,41
Ohio,41
New Jersey,41
South Carolina,35
Indiana,35
Wisconsin,35
Oklahoma,35
West Virginia,35
Missouri,35
Louisiana,35
Idaho,35
Texas,35
Michigan,29
Georgia,29
New Mexico,29
Kentucky,23
North Carolina,23
Florida,23
Alabama,17
Tennessee,11
Delaware,
Hawaii,
Mississippi,
North Dakota,
Wyoming,
