Category: All categories

Region,transphobia: (2016)
South Dakota,
Vermont,100
Delaware,
Nebraska,75
Oregon,66
Maryland,66
Montana,66
Alaska,
Arkansas,58
Massachusetts,58
Washington,58
Indiana,58
Michigan,50
New York,50
Hawaii,50
West Virginia,50
Connecticut,50
Ohio,50
Minnesota,50
Arizona,41
Pennsylvania,41
North Carolina,41
Rhode Island,41
California,41
Illinois,41
South Carolina,41
Georgia,41
New Hampshire,41
Wisconsin,41
Florida,41
Missouri,33
New Jersey,33
Iowa,33
Utah,33
Oklahoma,33
Kansas,33
Colorado,33
Virginia,33
New Mexico,33
District of Columbia,25
Maine,25
Texas,25
Tennessee,8
Kentucky,8
Alabama,8
Idaho,
Louisiana,
Mississippi,
North Dakota,
Nevada,
Wyoming,
