Category: All categories

Region,alcohol: (2012)
Pennsylvania,100
New Mexico,98
Massachusetts,98
Colorado,95
Nebraska,95
Maine,94
District of Columbia,93
Oregon,93
Washington,93
Arkansas,92
New Hampshire,92
Indiana,91
Illinois,91
Wyoming,91
Missouri,90
Vermont,90
North Dakota,90
Maryland,89
Ohio,88
Alaska,88
Minnesota,88
South Dakota,88
Michigan,88
Georgia,87
Louisiana,87
Montana,87
Idaho,86
Wisconsin,86
Tennessee,85
Florida,85
Arizona,85
Kentucky,85
Iowa,82
Rhode Island,82
Connecticut,82
Delaware,82
Virginia,80
California,80
Oklahoma,80
Texas,80
Kansas,80
New Jersey,79
South Carolina,79
West Virginia,78
New York,78
North Carolina,77
Mississippi,77
Hawaii,76
Alabama,75
Nevada,74
Utah,65
