Category: All categories

Region,hope: (2020)
Rhode Island,100
Arkansas,94
North Carolina,77
Minnesota,68
Maine,58
Alabama,58
Iowa,58
Michigan,55
Pennsylvania,53
District of Columbia,53
West Virginia,53
Tennessee,51
Hawaii,50
Alaska,49
Wisconsin,48
Mississippi,48
Georgia,48
South Carolina,48
New Jersey,48
Kansas,46
Idaho,46
North Dakota,45
Connecticut,45
Oklahoma,44
Nebraska,44
Ohio,43
Missouri,42
Indiana,42
Oregon,42
Massachusetts,42
Texas,42
Virginia,42
Maryland,40
Utah,40
Colorado,40
Louisiana,39
Delaware,39
California,39
Montana,39
Illinois,39
Kentucky,39
New Mexico,38
Washington,38
New York,38
Nevada,36
South Dakota,36
Florida,36
Arizona,36
New Hampshire,35
Vermont,34
Wyoming,32
